oa11cd,population
E00041378,288
E00041381,262
E00041382,178
E00041383,322
E00041386,580
E00166172,285
E00166174,230
E00166175,266
E00166187,270
E00166188,187
E00041363,212
E00041364,536
E00041371,336
E00041384,359
E00166182,537
E00166211,282
E00041366,224
E00041385,266
E00041389,183
E00041390,355
E00166179,553
E00041367,199
E00041368,283
E00041369,376
E00041372,246
E00041388,331
E00041370,9
E00041374,59
E00041375,17
E00041376,6
E00041377,190
E00041380,92
E00166177,167
E00166180,1273
E00166203,76
E00166205,185
E00166206,146
E00041394,440
E00041397,301
E00041400,309
E00041402,395
E00041415,282
E00041395,808
E00041410,261
E00041411,137
E00041413,205
E00041414,217
E00166192,223
E00166193,480
E00166196,243
E00166198,183
E00166200,186
E00041401,253
E00166201,452
E00166208,480
E00166209,214
E00166213,190
E00041399,250
E00041404,316
E00041405,99
E00041406,314
E00041409,340
E00166170,108
E00166190,271
E00166195,162
E00041393,352
E00041407,343
E00041408,252
E00166183,970
E00166185,252
E00041417,268
E00041418,270
E00041419,309
E00041421,272
E00041424,272
E00041425,230
E00041416,309
E00041420,324
E00041423,335
E00041426,262
E00041427,306
E00041422,218
E00041429,272
E00041432,269
E00041436,237
E00041437,270
E00170016,523
E00170029,325
E00041430,364
E00041431,200
E00041433,225
E00041434,259
E00041435,351
E00041438,293
E00041439,285
E00041440,314
E00041441,280
E00041442,268
E00041445,273
E00041467,296
E00041468,342
E00041469,111
E00041470,240
E00041447,295
E00041448,190
E00041453,384
E00041461,403
E00041472,289
E00041444,314
E00041446,265
E00041452,275
E00041471,287
E00041449,264
E00041451,344
E00041454,333
E00041456,241
E00041457,274
E00041443,293
E00041450,258
E00041458,297
E00041459,283
E00041460,400
E00041455,338
E00041462,275
E00041463,285
E00041464,352
E00041465,312
E00041466,337
E00041473,319
E00041476,246
E00041491,308
E00041495,318
E00041499,309
E00041477,306
E00041478,262
E00041483,221
E00041493,238
E00041504,294
E00041490,313
E00041492,293
E00041494,248
E00041496,232
E00041497,249
E00041474,252
E00041498,432
E00041500,233
E00041501,255
E00041502,248
E00041503,244
E00041505,219
E00041475,273
E00041479,203
E00041480,304
E00041481,260
E00041482,256
E00041484,303
E00041485,275
E00041486,267
E00041487,293
E00041488,226
E00041489,322
E00041520,290
E00041522,283
E00041527,282
E00041529,201
E00041530,156
E00041511,254
E00041516,267
E00041517,244
E00041526,251
E00041532,277
E00041521,172
E00041523,289
E00041525,235
E00041528,328
E00041531,228
E00041533,147
E00041507,414
E00041508,242
E00041515,267
E00041534,236
E00041535,265
E00041506,324
E00041512,347
E00041513,342
E00041514,252
E00041509,199
E00041510,276
E00041518,286
E00041519,317
E00041524,282
E00041544,115
E00041548,261
E00041549,391
E00041551,308
E00041552,346
E00041553,299
E00041555,302
E00041536,363
E00041556,179
E00041557,553
E00041558,216
E00041559,249
E00041560,168
E00041561,259
E00041539,231
E00041540,278
E00041546,218
E00041550,297
E00041554,227
E00041569,283
E00041542,255
E00041563,263
E00041564,270
E00041565,265
E00041566,391
E00041537,380
E00041538,295
E00041567,207
E00041568,231
E00041570,279
E00041541,255
E00041543,239
E00041545,216
E00041547,314
E00041562,301
E00041575,297
E00041581,317
E00041582,391
E00041584,347
E00041585,362
E00041577,283
E00041579,320
E00041580,249
E00041591,436
E00041597,274
E00041598,241
E00041571,252
E00041573,369
E00041586,328
E00041587,283
E00041589,262
E00041596,234
E00041572,304
E00041574,291
E00041588,226
E00041590,250
E00041593,175
E00041595,234
E00041576,334
E00041578,371
E00041583,218
E00041592,319
E00041594,268
E00041605,342
E00041606,300
E00041620,326
E00041622,278
E00041625,267
E00041627,219
E00041607,226
E00041621,191
E00041623,285
E00041624,350
E00041626,286
E00041603,307
E00041604,269
E00041610,382
E00041611,174
E00041617,325
E00041619,217
E00041599,384
E00041600,258
E00041629,278
E00041630,335
E00170010,261
E00170012,285
E00170013,257
E00041601,315
E00041614,222
E00041631,257
E00041632,316
E00165672,294
E00041602,365
E00041608,269
E00041612,330
E00041615,291
E00041616,168
E00041618,292
E00041637,134
E00041639,262
E00041642,293
E00041650,177
E00041654,245
E00041660,229
E00041633,299
E00041635,280
E00041640,371
E00041641,314
E00041644,248
E00041645,445
E00041646,242
E00041647,192
E00041648,314
E00041649,419
E00041636,498
E00041651,181
E00041652,376
E00041655,141
E00041656,191
E00041657,231
E00041634,261
E00041638,278
E00041643,316
E00041653,182
E00041658,272
E00041659,280
E00041663,170
E00041677,246
E00041685,236
E00041686,253
E00166216,371
E00170018,239
E00041679,350
E00041680,315
E00041681,224
E00041682,251
E00041683,307
E00041684,204
E00041661,407
E00041665,390
E00041671,289
E00041687,261
E00041688,213
E00041666,242
E00041667,162
E00041668,295
E00166169,511
E00041662,316
E00041670,281
E00041672,357
E00041675,263
E00041676,316
E00041678,202
E00041691,380
E00041694,221
E00041698,312
E00041701,317
E00041702,276
E00041693,326
E00041695,237
E00041696,372
E00041697,365
E00041699,372
E00041700,230
E00041703,269
E00041704,514
E00041706,367
E00041709,286
E00166218,966
E00170015,275
E00041689,345
E00041690,267
E00041707,255
E00041714,241
E00041715,235
E00041716,269
E00041705,256
E00041708,303
E00041710,305
E00041711,231
E00041712,267
E00041713,345
E00041723,351
E00041742,357
E00041743,282
E00041744,356
E00041745,354
E00041717,260
E00041727,296
E00041746,321
E00041747,326
E00041720,303
E00041725,229
E00041729,275
E00041730,251
E00041749,227
E00041726,308
E00041731,421
E00041736,269
E00041748,471
E00041718,325
E00041719,271
E00041721,436
E00041724,272
E00041728,247
E00041722,215
E00041737,262
E00041739,252
E00041740,283
E00041741,334
E00041732,180
E00041733,179
E00041734,217
E00041735,298
E00041738,320
E00041750,200
E00041758,214
E00041761,234
E00041762,256
E00041763,355
E00041764,307
E00041765,308
E00041766,293
E00041751,253
E00041756,242
E00041759,287
E00041777,248
E00041779,290
E00041752,215
E00041754,294
E00041769,199
E00041770,147
E00041772,270
E00041774,309
E00041753,337
E00041767,282
E00041768,280
E00041771,346
E00041773,313
E00041755,410
E00041776,267
E00041778,350
E00041782,200
E00041783,305
E00041757,329
E00041760,274
E00041775,285
E00041780,357
E00041781,273
E00041787,276
E00041788,304
E00041790,269
E00041810,288
E00041812,321
E00041784,339
E00041789,259
E00041791,247
E00041792,244
E00041807,238
E00041811,251
E00041793,314
E00041794,268
E00041795,307
E00041796,426
E00041797,311
E00041785,252
E00041798,253
E00041801,265
E00041802,199
E00041804,235
E00041805,264
E00041786,317
E00041799,230
E00041800,308
E00041803,219
E00041806,206
E00041809,228
E00166214,299
E00170021,137
E00041815,266
E00041817,295
E00041825,274
E00041832,227
E00041844,275
E00041814,257
E00041830,267
E00041834,276
E00041835,281
E00041841,323
E00041816,243
E00041826,256
E00041833,261
E00041836,224
E00041838,293
E00041842,238
E00041822,1413
E00041837,274
E00041839,289
E00041840,269
E00041843,331
E00041813,238
E00041818,271
E00041819,248
E00041827,233
E00041828,285
E00041829,271
E00041820,231
E00041821,257
E00041823,297
E00041824,296
E00041831,320
E00041856,298
E00041857,235
E00041858,287
E00041859,270
E00041867,213
E00041869,366
E00041873,259
E00041848,155
E00041849,259
E00041850,681
E00041852,281
E00041866,442
E00041868,295
E00041851,483
E00041853,140
E00041854,242
E00041870,268
E00041871,372
E00041875,236
E00041845,430
E00041855,211
E00041861,206
E00041864,270
E00041872,175
E00041874,375
E00041846,300
E00041847,257
E00041860,745
E00041862,275
E00041863,227
E00041865,305
E00041879,317
E00041892,221
E00041895,312
E00041896,174
E00041897,253
E00041898,382
E00041876,202
E00041880,255
E00041881,273
E00041902,287
E00041906,155
E00041908,311
E00041899,23
E00041901,9
E00041903,276
E00041904,226
E00041907,511
E00166219,253
E00166221,266
E00166222,542
E00166224,219
E00041882,287
E00041883,371
E00041885,376
E00041888,282
E00041905,393
E00041909,310
E00041877,371
E00041884,262
E00041887,302
E00041893,339
E00041894,303
E00041878,273
E00041886,291
E00041889,255
E00041890,279
E00041891,345
E00041910,223
E00041915,325
E00041941,301
E00041942,282
E00170026,339
E00170027,216
E00041914,250
E00041920,318
E00041924,282
E00041929,259
E00041944,368
E00041918,255
E00041919,305
E00041923,271
E00041926,311
E00041927,257
E00041916,296
E00041917,304
E00041921,199
E00041940,304
E00041943,261
E00041922,250
E00041928,306
E00041930,266
E00041931,298
E00041933,175
E00041911,366
E00041913,343
E00041925,334
E00041932,192
E00041934,256
E00041912,265
E00041935,315
E00041936,307
E00041937,267
E00041938,306
E00041950,309
E00041956,291
E00041960,310
E00041962,283
E00041963,274
E00041952,282
E00041953,249
E00041958,191
E00041959,263
E00041979,280
E00041947,297
E00041948,228
E00041949,244
E00041954,256
E00041957,327
E00041961,308
E00041964,278
E00041967,267
E00041969,271
E00041973,222
E00041946,363
E00041965,244
E00041966,253
E00041968,273
E00041975,248
E00041945,273
E00041970,246
E00041971,285
E00041972,238
E00041974,285
E00041951,269
E00041955,253
E00041976,319
E00041977,286
E00041978,309
E00041992,162
E00041995,289
E00041996,203
E00041997,281
E00041998,237
E00041999,236
E00041986,357
E00041987,391
E00041988,336
E00041991,236
E00041993,248
E00041981,285
E00041989,325
E00041994,275
E00042000,260
E00042001,298
E00041982,256
E00041984,208
E00041990,288
E00042004,277
E00042005,300
E00041980,309
E00041983,403
E00041985,250
E00042002,263
E00042003,225
E00042006,242
E00042010,415
E00042011,322
E00042012,275
E00042030,216
E00042031,287
E00042013,346
E00042014,257
E00042036,321
E00042039,288
E00042041,213
E00042024,270
E00042026,249
E00042028,263
E00042029,271
E00042033,178
E00042032,209
E00042034,306
E00042035,250
E00042037,330
E00042038,302
E00042015,308
E00042016,269
E00042017,320
E00042018,239
E00042040,267
E00042009,257
E00042019,193
E00042021,206
E00042023,297
E00042025,249
E00042027,245
E00042008,535
E00042020,216
E00042022,309
E00170020,239
E00170023,108
E00170024,337
E00170030,319
